STATE,COUNTY,CTYNAME,POPESTIMATE2018
1,0,Alabama,4887871
1,1,Autauga County,55601
1,3,Baldwin County,218022
1,5,Barbour County,24881
1,7,Bibb County,22400
1,9,Blount County,57840
1,11,Bullock County,10138
1,13,Butler County,19680
1,15,Calhoun County,114277
1,17,Chambers County,33615
1,19,Cherokee County,26032
1,21,Chilton County,44153
1,23,Choctaw County,12841
1,25,Clarke County,23920
1,27,Clay County,13275
1,29,Cleburne County,14987
1,31,Coffee County,51909
1,33,Colbert County,54762
1,35,Conecuh County,12277
1,37,Coosa County,10715
1,39,Covington County,36986
1,41,Crenshaw County,13824
1,43,Cullman County,83442
1,45,Dale County,48956
1,47,Dallas County,38310
1,49,DeKalb County,71385
1,51,Elmore County,81887
1,53,Escambia County,36748
1,55,Etowah County,102501
1,57,Fayette County,16433
1,59,Franklin County,31363
1,61,Geneva County,26314
1,63,Greene County,8233
1,65,Hale County,14726
1,67,Henry County,17209
1,69,Houston County,104722
1,71,Jackson County,51736
1,73,Jefferson County,659300
1,75,Lamar County,13844
1,77,Lauderdale County,92387
1,79,Lawrence County,32957
1,81,Lee County,163941
1,83,Limestone County,96174
1,85,Lowndes County,9974
1,87,Macon County,18439
1,89,Madison County,366519
1,91,Marengo County,19066
1,93,Marion County,29763
1,95,Marshall County,96109
1,97,Mobile County,413757
1,99,Monroe County,21067
1,101,Montgomery County,225763
1,103,Morgan County,119089
1,105,Perry County,9140
1,107,Pickens County,19938
1,109,Pike County,33338
1,111,Randolph County,22725
1,113,Russell County,57781
1,115,St. Clair County,88690
1,117,Shelby County,215707
1,119,Sumter County,12691
1,121,Talladega County,79828
1,123,Tallapoosa County,40497
1,125,Tuscaloosa County,208911
1,127,Walker County,63711
1,129,Washington County,16378
1,131,Wilcox County,10627
1,133,Winston County,23660
2,0,Alaska,737438
2,13,Aleutians East Borough,3515
2,16,Aleutians West Census Area,5723
2,20,Anchorage Municipality,291538
2,50,Bethel Census Area,18216
2,60,Bristol Bay Borough,877
2,68,Denali Borough,2059
2,70,Dillingham Census Area,5000
2,90,Fairbanks North Star Borough,98971
2,100,Haines Borough,2474
2,105,Hoonah-Angoon Census Area,2151
2,110,Juneau City and Borough,32113
2,122,Kenai Peninsula Borough,58533
2,130,Ketchikan Gateway Borough,13918
2,150,Kodiak Island Borough,13345
2,158,Kusilvak Census Area,8303
2,164,Lake and Peninsula Borough,1587
2,170,Matanuska-Susitna Borough,107610
2,180,Nome Census Area,10008
2,185,North Slope Borough,9872
2,188,Northwest Arctic Borough,7671
2,195,Petersburg Borough,3221
2,198,Prince of Wales-Hyder Census Area,6422
2,220,Sitka City and Borough,8647
2,230,Skagway Municipality,1148
2,240,Southeast Fairbanks Census Area,6918
2,261,Valdez-Cordova Census Area,9164
2,275,Wrangell City and Borough,2503
2,282,Yakutat City and Borough,604
2,290,Yukon-Koyukuk Census Area,5327
4,0,Arizona,7171646
4,1,Apache County,71818
4,3,Cochise County,126770
4,5,Coconino County,142854
4,7,Gila County,53889
4,9,Graham County,38072
4,11,Greenlee County,9483
4,12,La Paz County,21098
4,13,Maricopa County,4410824
4,15,Mohave County,209550
4,17,Navajo County,110445
4,19,Pima County,1039073
4,21,Pinal County,447138
4,23,Santa Cruz County,46511
4,25,Yavapai County,231993
4,27,Yuma County,212128
5,0,Arkansas,3013825
5,1,Arkansas County,17769
5,3,Ashley County,20046
5,5,Baxter County,41619
5,7,Benton County,272608
5,9,Boone County,37480
5,11,Bradley County,10897
5,13,Calhoun County,5277
